idImagen,clase,rutaOriginal,rutaNpy,alto,ancho,media,desviacion,minimo,maximo,tiempoSegundos,estado,error
0,Bercak Daun,/home/alumno/.cache/kagglehub/datasets/ndisan/corn-leaf-disease/versions/1/Bercak Daun/Corn_Gray_Spot (1).jpg,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_0.npy",128,128,0.24552887678146362,0.11420334130525589,0.05098039284348488,0.7686274647712708,0.16982669299977715,ok,
1,Bercak Daun,/home/alumno/.cache/kagglehub/datasets/ndisan/corn-leaf-disease/versions/1/Bercak Daun/Corn_Gray_Spot (10).jpg,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_1.npy",128,128,0.5123552083969116,0.1431240439414978,0.0784313753247261,1.0,0.16183697499945993,ok,
2,Bercak Daun,/home/alumno/.cache/kagglehub/datasets/ndisan/corn-leaf-disease/versions/1/Bercak Daun/Corn_Gray_Spot (100).JPG,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_2.npy",128,128,0.467181533575058,0.08886761963367462,0.15294118225574493,0.7960784435272217,0.13759876299809548,ok,
3,Bercak Daun,/home/alumno/.cache/kagglehub/datasets/ndisan/corn-leaf-disease/versions/1/Bercak Daun/Corn_Gray_Spot (101).JPG,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_3.npy",128,128,0.3915414810180664,0.13061390817165375,0.05098039284348488,0.7411764860153198,0.1296030810008233,ok,
4,Bercak Daun,/home/alumno/.cache/kagglehub/datasets/ndisan/corn-leaf-disease/versions/1/Bercak Daun/Corn_Gray_Spot (102).JPG,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_4.npy",128,128,0.5061866044998169,0.1166684702038765,0.250980406999588,0.9764705896377563,0.11069250900254701,ok,
5,Bercak Daun,/home/alumno/.cache/kagglehub/datasets/ndisan/corn-leaf-disease/versions/1/Bercak Daun/Corn_Gray_Spot (103).JPG,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_5.npy",128,128,0.42988139390945435,0.21825288236141205,0.05098039284348488,0.8784313797950745,0.11868221900294884,ok,
6,Bercak Daun,/home/alumno/.cache/kagglehub/datasets/ndisan/corn-leaf-disease/versions/1/Bercak Daun/Corn_Gray_Spot (104).JPG,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_6.npy",128,128,0.47033238410949707,0.09419359266757965,0.21568627655506134,0.8509804010391235,0.11726684199675219,ok,
7,Bercak Daun,/home/alumno/.cache/kagglehub/datasets/ndisan/corn-leaf-disease/versions/1/Bercak Daun/Corn_Gray_Spot (105).JPG,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_7.npy",128,128,0.502470850944519,0.16790543496608734,0.09803921729326248,0.9411764740943909,0.11803941300240695,ok,
8,Bercak Daun,/home/alumno/.cache/kagglehub/datasets/ndisan/corn-leaf-disease/versions/1/Bercak Daun/Corn_Gray_Spot (106).JPG,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_8.npy",128,128,0.4352412223815918,0.21419663727283478,0.07450980693101883,0.9725490212440491,0.1192293919993972,ok,
9,Bercak Daun,/home/alumno/.cache/kagglehub/datasets/ndisan/corn-leaf-disease/versions/1/Bercak Daun/Corn_Gray_Spot (107).JPG,"/media/alumno/DAMIAN/Barahona,Chasipanta,Cañas_TallerFinal/salidas/npyCpu/Bercak Daun/imagen_9.npy",128,128,0.45795300602912903,0.10647626966238022,0.07450980693101883,0.95686274766922,0.11127199899783591,ok,
